Название компании,Персонализация,Письмо 1 - Тема,Письмо 1 - Тело,Письмо 2 - Тема,Письмо 2 - Тело,Письмо 3 - Тема,Письмо 3 - Тело
"ООО ""Яндекс""",Развивает облачную платформу Yandex Cloud для корпоративных клиентов,Развивает облачную платформу Yandex Cloud для,"Привет, Аркадий!

Развивает облачную платформу Yandex Cloud для корпоративных клиентов — это отличный ход. Кстати, мы в Polza Agency как раз помогаем B2B-компаниям привлекать клиентов через холодные рассылки.

Бесплатно сделаем аудит вашей текущей стратегии и покажем, как можно увеличить поток лидов.

Есть ли у вас время на короткий звонок в ближайшие дни?","Идея для IT/Софт / Результат, который мы получили","Привет, Аркадий!

Я писал вам на днях насчет автоматизации аутрича. Возможно, сейчас не самое подходящее время, но хочу поделиться кейсом.

Недавно мы запустили рассылку для компании из вашей отрасли. За 4 недели они получили 20+ квалифицированных лидов и 3 новых клиента.

Сделали это без спама — только персонализированный подход и умные цепочки писем.

Думаю, вашему бизнесу тоже может быть полезно. Давайте обсудим это на 15-минутном созвоне?",Будем на связи / Полезный материал для вас,"Привет, Аркадий!

Заметил, что вы не ответили на мои предыдущие письма. Возможно, сейчас вы заняты или не ищете подрядчиков для аутрича.

На всякий случай отправляю наш гайд ""5 ошибок в холодных рассылках, которые убивают конверсию"". Думаю, вам будет полезно.

Если когда-нибудь решите попробовать автоматизированный подход к лидогенерации — мы всегда открыты к диалогу.

Желаю успехов в развитии бизнеса!

P.S. Если не хотите получать больше писем, просто напишите ""стоп"" — и я вас сразу удалю из списка."
"АО ""Лаборатория Касперского""",Запустила платформу Kaspersky Expert Security для корпоративных клиентов,Запустила платформу Kaspersky Expert Security,"Привет, Даниил!

Запустила платформу Kaspersky Expert Security для корпоративных клиентов — это отличный ход. Кстати, мы в Polza Agency как раз помогаем B2B-компаниям привлекать клиентов через холодные рассылки.

Бесплатно сделаем аудит вашей текущей стратегии и покажем, как можно увеличить поток лидов.

Есть ли у вас время на короткий звонок в ближайшие дни?","Идея для IT/Софт / Результат, который мы получили","Привет, Даниил!

Я писал вам на днях насчет автоматизации аутрича. Возможно, сейчас не самое подходящее время, но хочу поделиться кейсом.

Недавно мы запустили рассылку для компании из вашей отрасли. За 4 недели они получили 20+ квалифицированных лидов и 3 новых клиента.

Сделали это без спама — только персонализированный подход и умные цепочки писем.

Думаю, вашему бизнесу тоже может быть полезно. Давайте обсудим это на 15-минутном созвоне?",Будем на связи / Полезный материал для вас,"Привет, Даниил!

Заметил, что вы не ответили на мои предыдущие письма. Возможно, сейчас вы заняты или не ищете подрядчиков для аутрича.

На всякий случай отправляю наш гайд ""5 ошибок в холодных рассылках, которые убивают конверсию"". Думаю, вам будет полезно.

Если когда-нибудь решите попробовать автоматизированный подход к лидогенерации — мы всегда открыты к диалогу.

Желаю успехов в развитии бизнеса!

P.S. Если не хотите получать больше писем, просто напишите ""стоп"" — и я вас сразу удалю из списка."
"ЗАО ""1С""",Развивает экосистему франчайзи и ERP-решения для бизнеса,Развивает экосистему франчайзи и ERP-решения ,"Привет, Борис!

Развивает экосистему франчайзи и ERP-решения для бизнеса — это отличный ход. Кстати, мы в Polza Agency как раз помогаем B2B-компаниям привлекать клиентов через холодные рассылки.

Бесплатно сделаем аудит вашей текущей стратегии и покажем, как можно увеличить поток лидов.

Есть ли у вас время на короткий звонок в ближайшие дни?","Идея для IT/Софт / Результат, который мы получили","Привет, Борис!

Я писал вам на днях насчет автоматизации аутрича. Возможно, сейчас не самое подходящее время, но хочу поделиться кейсом.

Недавно мы запустили рассылку для компании из вашей отрасли. За 4 недели они получили 20+ квалифицированных лидов и 3 новых клиента.

Сделали это без спама — только персонализированный подход и умные цепочки писем.

Думаю, вашему бизнесу тоже может быть полезно. Давайте обсудим это на 15-минутном созвоне?",Будем на связи / Полезный материал для вас,"Привет, Борис!

Заметил, что вы не ответили на мои предыдущие письма. Возможно, сейчас вы заняты или не ищете подрядчиков для аутрича.

На всякий случай отправляю наш гайд ""5 ошибок в холодных рассылках, которые убивают конверсию"". Думаю, вам будет полезно.

Если когда-нибудь решите попробовать автоматизированный подход к лидогенерации — мы всегда открыты к диалогу.

Желаю успехов в развитии бизнеса!

P.S. Если не хотите получать больше писем, просто напишите ""стоп"" — и я вас сразу удалю из списка."
"ООО ""СКБ Контур""",Развивает экосистему электронного документооборота для бизнеса,Развивает экосистему электронного документооб,"Привет, Михаил!

Развивает экосистему электронного документооборота для бизнеса — это отличный ход. Кстати, мы в Polza Agency как раз помогаем B2B-компаниям привлекать клиентов через холодные рассылки.

Бесплатно сделаем аудит вашей текущей стратегии и покажем, как можно увеличить поток лидов.

Есть ли у вас время на короткий звонок в ближайшие дни?","Идея для IT/Софт / Результат, который мы получили","Привет, Михаил!

Я писал вам на днях насчет автоматизации аутрича. Возможно, сейчас не самое подходящее время, но хочу поделиться кейсом.

Недавно мы запустили рассылку для компании из вашей отрасли. За 4 недели они получили 20+ квалифицированных лидов и 3 новых клиента.

Сделали это без спама — только персонализированный подход и умные цепочки писем.

Думаю, вашему бизнесу тоже может быть полезно. Давайте обсудим это на 15-минутном созвоне?",Будем на связи / Полезный материал для вас,"Привет, Михаил!

Заметил, что вы не ответили на мои предыдущие письма. Возможно, сейчас вы заняты или не ищете подрядчиков для аутрича.

На всякий случай отправляю наш гайд ""5 ошибок в холодных рассылках, которые убивают конверсию"". Думаю, вам будет полезно.

Если когда-нибудь решите попробовать автоматизированный подход к лидогенерации — мы всегда открыты к диалогу.

Желаю успехов в развитии бизнеса!

P.S. Если не хотите получать больше писем, просто напишите ""стоп"" — и я вас сразу удалю из списка."
"ООО ""Битрикс""",Запустила корпоративный мессенджер и CRM для SMB-сегмента,Запустила корпоративный мессенджер и CRM для ,"Привет, Сергей!

Запустила корпоративный мессенджер и CRM для SMB-сегмента — это отличный ход. Кстати, мы в Polza Agency как раз помогаем B2B-компаниям привлекать клиентов через холодные рассылки.

Бесплатно сделаем аудит вашей текущей стратегии и покажем, как можно увеличить поток лидов.

Есть ли у вас время на короткий звонок в ближайшие дни?","Идея для IT/Софт / Результат, который мы получили","Привет, Сергей!

Я писал вам на днях насчет автоматизации аутрича. Возможно, сейчас не самое подходящее время, но хочу поделиться кейсом.

Недавно мы запустили рассылку для компании из вашей отрасли. За 4 недели они получили 20+ квалифицированных лидов и 3 новых клиента.

Сделали это без спама — только персонализированный подход и умные цепочки писем.

Думаю, вашему бизнесу тоже может быть полезно. Давайте обсудим это на 15-минутном созвоне?",Будем на связи / Полезный материал для вас,"Привет, Сергей!

Заметил, что вы не ответили на мои предыдущие письма. Возможно, сейчас вы заняты или не ищете подрядчиков для аутрича.

На всякий случай отправляю наш гайд ""5 ошибок в холодных рассылках, которые убивают конверсию"". Думаю, вам будет полезно.

Если когда-нибудь решите попробовать автоматизированный подход к лидогенерации — мы всегда открыты к диалогу.

Желаю успехов в развитии бизнеса!

P.S. Если не хотите получать больше писем, просто напишите ""стоп"" — и я вас сразу удалю из списка."
"ООО ""МойСклад""",Облачный сервис для автоматизации складского учета и розничной торговли,{personalization_short},"Привет, {name}!

{personalization} — это отличный ход. Кстати, мы в Polza Agency как раз помогаем B2B-компаниям привлекать клиентов через холодные рассылки.

Бесплатно сделаем аудит вашей текущей стратегии и покажем, как можно увеличить поток лидов.

Есть ли у вас время на короткий звонок в ближайшие дни?","Идея для {{industry}} / Результат, который мы получили","Привет, {name}!

Я писал вам на днях насчет автоматизации аутрича. Возможно, сейчас не самое подходящее время, но хочу поделиться кейсом.

Недавно мы запустили рассылку для компании из вашей отрасли. За 4 недели они получили 20+ квалифицированных лидов и 3 новых клиента.

Сделали это без спама — только персонализированный подход и умные цепочки писем.

Думаю, вашему бизнесу тоже может быть полезно. Давайте обсудим это на 15-минутном созвоне?",Будем на связи / Полезный материал для вас,"Привет, {name}!

Заметил, что вы не ответили на мои предыдущие письма. Возможно, сейчас вы заняты или не ищете подрядчиков для аутрича.

На всякий случай отправляю наш гайд ""5 ошибок в холодных рассылках, которые убивают конверсию"". Думаю, вам будет полезно.

Если когда-нибудь решите попробовать автоматизированный подход к лидогенерации — мы всегда открыты к диалогу.

Желаю успехов в развитии бизнеса!

P.S. Если не хотите получать больше писем, просто напишите ""стоп"" — и я вас сразу удалю из списка."
"ООО ""Аби Девелопмент"" (ABBYY)",Разрабатывает решения для интеллектуальной обработки документов (IDP),{personalization_short},"Привет, {name}!

{personalization} — это отличный ход. Кстати, мы в Polza Agency как раз помогаем B2B-компаниям привлекать клиентов через холодные рассылки.

Бесплатно сделаем аудит вашей текущей стратегии и покажем, как можно увеличить поток лидов.

Есть ли у вас время на короткий звонок в ближайшие дни?","Идея для {{industry}} / Результат, который мы получили","Привет, {name}!

Я писал вам на днях насчет автоматизации аутрича. Возможно, сейчас не самое подходящее время, но хочу поделиться кейсом.

Недавно мы запустили рассылку для компании из вашей отрасли. За 4 недели они получили 20+ квалифицированных лидов и 3 новых клиента.

Сделали это без спама — только персонализированный подход и умные цепочки писем.

Думаю, вашему бизнесу тоже может быть полезно. Давайте обсудим это на 15-минутном созвоне?",Будем на связи / Полезный материал для вас,"Привет, {name}!

Заметил, что вы не ответили на мои предыдущие письма. Возможно, сейчас вы заняты или не ищете подрядчиков для аутрича.

На всякий случай отправляю наш гайд ""5 ошибок в холодных рассылках, которые убивают конверсию"". Думаю, вам будет полезно.

Если когда-нибудь решите попробовать автоматизированный подход к лидогенерации — мы всегда открыты к диалогу.

Желаю успехов в развитии бизнеса!

P.S. Если не хотите получать больше писем, просто напишите ""стоп"" — и я вас сразу удалю из списка."
"ООО ""Манго Офис""",Облачная телефонная система и коммуникации для бизнеса,{personalization_short},"Привет, {name}!

{personalization} — это отличный ход. Кстати, мы в Polza Agency как раз помогаем B2B-компаниям привлекать клиентов через холодные рассылки.

Бесплатно сделаем аудит вашей текущей стратегии и покажем, как можно увеличить поток лидов.

Есть ли у вас время на короткий звонок в ближайшие дни?","Идея для {{industry}} / Результат, который мы получили","Привет, {name}!

Я писал вам на днях насчет автоматизации аутрича. Возможно, сейчас не самое подходящее время, но хочу поделиться кейсом.

Недавно мы запустили рассылку для компании из вашей отрасли. За 4 недели они получили 20+ квалифицированных лидов и 3 новых клиента.

Сделали это без спама — только персонализированный подход и умные цепочки писем.

Думаю, вашему бизнесу тоже может быть полезно. Давайте обсудим это на 15-минутном созвоне?",Будем на связи / Полезный материал для вас,"Привет, {name}!

Заметил, что вы не ответили на мои предыдущие письма. Возможно, сейчас вы заняты или не ищете подрядчиков для аутрича.

На всякий случай отправляю наш гайд ""5 ошибок в холодных рассылках, которые убивают конверсию"". Думаю, вам будет полезно.

Если когда-нибудь решите попробовать автоматизированный подход к лидогенерации — мы всегда открыты к диалогу.

Желаю успехов в развитии бизнеса!

P.S. Если не хотите получать больше писем, просто напишите ""стоп"" — и я вас сразу удалю из списка."
"ООО ""InSales""",Платформа для создания интернет-магазинов и B2B-торговли,{personalization_short},"Привет, {name}!

{personalization} — это отличный ход. Кстати, мы в Polza Agency как раз помогаем B2B-компаниям привлекать клиентов через холодные рассылки.

Бесплатно сделаем аудит вашей текущей стратегии и покажем, как можно увеличить поток лидов.

Есть ли у вас время на короткий звонок в ближайшие дни?","Идея для {{industry}} / Результат, который мы получили","Привет, {name}!

Я писал вам на днях насчет автоматизации аутрича. Возможно, сейчас не самое подходящее время, но хочу поделиться кейсом.

Недавно мы запустили рассылку для компании из вашей отрасли. За 4 недели они получили 20+ квалифицированных лидов и 3 новых клиента.

Сделали это без спама — только персонализированный подход и умные цепочки писем.

Думаю, вашему бизнесу тоже может быть полезно. Давайте обсудим это на 15-минутном созвоне?",Будем на связи / Полезный материал для вас,"Привет, {name}!

Заметил, что вы не ответили на мои предыдущие письма. Возможно, сейчас вы заняты или не ищете подрядчиков для аутрича.

На всякий случай отправляю наш гайд ""5 ошибок в холодных рассылках, которые убивают конверсию"". Думаю, вам будет полезно.

Если когда-нибудь решите попробовать автоматизированный подход к лидогенерации — мы всегда открыты к диалогу.

Желаю успехов в развитии бизнеса!

P.S. Если не хотите получать больше писем, просто напишите ""стоп"" — и я вас сразу удалю из списка."
"ООО ""Юниксендер""",Сервис email-рассылок и маркетинговой автоматизации для бизнеса,{personalization_short},"Привет, {name}!

{personalization} — это отличный ход. Кстати, мы в Polza Agency как раз помогаем B2B-компаниям привлекать клиентов через холодные рассылки.

Бесплатно сделаем аудит вашей текущей стратегии и покажем, как можно увеличить поток лидов.

Есть ли у вас время на короткий звонок в ближайшие дни?","Идея для {{industry}} / Результат, который мы получили","Привет, {name}!

Я писал вам на днях насчет автоматизации аутрича. Возможно, сейчас не самое подходящее время, но хочу поделиться кейсом.

Недавно мы запустили рассылку для компании из вашей отрасли. За 4 недели они получили 20+ квалифицированных лидов и 3 новых клиента.

Сделали это без спама — только персонализированный подход и умные цепочки писем.

Думаю, вашему бизнесу тоже может быть полезно. Давайте обсудим это на 15-минутном созвоне?",Будем на связи / Полезный материал для вас,"Привет, {name}!

Заметил, что вы не ответили на мои предыдущие письма. Возможно, сейчас вы заняты или не ищете подрядчиков для аутрича.

На всякий случай отправляю наш гайд ""5 ошибок в холодных рассылках, которые убивают конверсию"". Думаю, вам будет полезно.

Если когда-нибудь решите попробовать автоматизированный подход к лидогенерации — мы всегда открыты к диалогу.

Желаю успехов в развитии бизнеса!

P.S. Если не хотите получать больше писем, просто напишите ""стоп"" — и я вас сразу удалю из списка."
