Название компании,Сайт,Отрасль,Регион,Контактное лицо (должность),Email,Телефон,Размер компании,Персонализация,Источник персонализации
"ООО ""Яндекс""",https://yandex.ru,IT/Софт,Москва,Волож Аркадий Юрьевич (CEO),adv@yandex-team.ru,+7 (495) 739-70-00,10000+,Развивает облачную платформу Yandex Cloud для корпоративных клиентов,https://cloud.yandex.ru
"АО ""Лаборатория Касперского""",https://www.kaspersky.ru,IT/Софт,Москва,Клямко Даниил Борисович (Генеральный директор),corporate-sales@kaspersky.ru,+7 (495) 797-87-00,5000+,Запустила платформу Kaspersky Expert Security для корпоративных клиентов,https://www.kaspersky.ru/enterprise
"ЗАО ""1С""",https://1c.ru,IT/Софт,Москва,Нуралиев Борис Георгиевич (Директор),partner@1c.ru,+7 (495) 681-32-51,1000+,Развивает экосистему франчайзи и ERP-решения для бизнеса,https://1c.ru
"ООО ""СКБ Контур""",https://kontur.ru,IT/Софт,Екатеринбург,Скробов Михаил Валерьевич (Генеральный директор),info@kontur.ru,+7 (343) 379-88-00,5000+,Развивает экосистему электронного документооборота для бизнеса,https://kontur.ru
"ООО ""Битрикс""",https://www.bitrix24.ru,IT/Софт,Санкт-Петербург,Рыжков Сергей (Генеральный директор),info@bitrix24.ru,+7 (495) 363-58-70,500+,Запустила корпоративный мессенджер и CRM для SMB-сегмента,https://www.bitrix24.ru
"ООО ""МойСклад""",https://www.moysklad.ru,IT/Софт,Москва,Барышников Андрей (Генеральный директор),info@moysklad.ru,+7 (495) 221-81-01,200+,Облачный сервис для автоматизации складского учета и розничной торговли,https://www.moysklad.ru
"ООО ""Аби Девелопмент"" (ABBYY)",https://www.abbyy.ru,IT/Софт,Москва,Моор Давид (Генеральный директор),sales@abbyy.com,+7 (495) 937-28-30,1000+,Разрабатывает решения для интеллектуальной обработки документов (IDP),https://www.abbyy.ru
"ООО ""Манго Офис""",https://www.mango-office.ru,IT/Софт,Москва,Голдович Андрей (Генеральный директор),info@mango-office.ru,+7 (495) 228-10-10,200+,Облачная телефонная система и коммуникации для бизнеса,https://www.mango-office.ru
"ООО ""InSales""",https://www.insales.ru,IT/Софт,Москва,Мамуля Дмитрий (Генеральный директор),sales@insales.ru,+7 (495) 981-02-32,100+,Платформа для создания интернет-магазинов и B2B-торговли,https://www.insales.ru
"ООО ""Юниксендер""",https://www.unisender.ru,IT/Софт,Санкт-Петербург,Атаманов Денис (Генеральный директор),info@unisender.ru,+7 (495) 644-32-42,50+,Сервис email-рассылок и маркетинговой автоматизации для бизнеса,https://www.unisender.ru
